,scores
1275,-43.387300000000195
1276,41.62849999999948
1277,-58.921500000000506
1278,-42.72100000000011
1279,66.53069999999998
1280,-53.15680000000029
1281,-52.292400000000306
1282,-66.00900000000048
1283,-45.31330000000014
1284,-44.11200000000015
1285,-52.98360000000047
1286,-95.12189999999993
1287,85.63680000000004
1288,-77.24380000000036
1289,-51.68960000000027
1290,68.83529999999999
1291,-68.44770000000061
1292,63.14210000000003
1293,69.9897
1294,-79.20190000000026
1295,-62.312200000000516
1296,-74.03620000000056
1297,72.06930000000001
1298,56.57499999999972
1299,-78.67210000000009
1300,-53.269400000000374
1301,58.50439999999969
1302,-44.2625000000001
1303,74.42310000000002
1304,-75.89550000000038
1305,-56.2282000000004
1306,-59.70120000000048
1307,-65.01580000000035
